iter	Passed	Remaining
928	2620	200
929	2622	197
930	2624	194
931	2626	191
932	2629	188
933	2631	185
934	2633	183
935	2636	180
936	2638	177
937	2640	174
938	2642	171
939	2644	168
940	2647	165
941	2649	163
942	2652	160
943	2655	157
944	2658	154
945	2660	151
946	2663	149
947	2666	146
948	2668	143
949	2671	140
950	2673	137
951	2675	134
952	2678	132
953	2680	129
954	2682	126
955	2685	123
956	2687	120
957	2689	117
958	2691	115
959	2693	112
960	2695	109
961	2698	106
962	2700	103
963	2703	100
964	2705	98
965	2707	95
966	2709	92
967	2712	89
968	2714	86
969	2717	84
970	2719	81
971	2721	78
972	2723	75
973	2726	72
974	2728	69
975	2731	67
976	2733	64
977	2735	61
978	2738	58
979	2740	55
980	2742	53
981	2745	50
982	2748	47
983	2750	44
984	2753	41
985	2755	39
986	2757	36
987	2760	33
988	2763	30
989	2765	27
990	2767	25
991	2770	22
992	2772	19
993	2774	16
994	2777	13
995	2779	11
996	2782	8
997	2784	5
998	2786	2
999	2788	0
