iter	Passed	Remaining
646	996	543
647	997	541
648	997	539
649	998	537
650	999	535
651	999	533
652	1000	531
653	1001	529
654	1001	527
655	1002	525
656	1003	523
657	1003	521
658	1004	519
659	1005	518
660	1006	516
661	1007	514
662	1007	512
663	1008	510
664	1009	508
665	1010	506
666	1010	504
667	1011	502
668	1012	500
669	1012	498
670	1013	496
671	1014	494
672	1014	493
673	1015	491
674	1016	489
675	1016	487
676	1017	485
677	1018	483
678	1019	481
679	1019	479
680	1020	478
681	1021	476
682	1022	474
683	1023	472
684	1024	470
685	1025	469
686	1026	467
687	1027	465
688	1028	464
689	1028	462
690	1029	460
691	1030	458
692	1030	456
693	1031	454
694	1032	453
695	1033	451
696	1033	449
697	1034	447
698	1035	446
699	1036	444
700	1037	442
701	1038	440
702	1040	439
703	1040	437
704	1041	435
705	1042	434
706	1043	432
707	1044	430
708	1045	429
709	1046	427
710	1047	425
711	1048	423
712	1049	422
713	1050	420
714	1051	419
715	1052	417
716	1054	416
717	1055	414
718	1056	412
719	1057	411
720	1058	409
721	1059	407
722	1060	406
723	1061	404
724	1062	403
725	1063	401
726	1065	400
727	1066	398
728	1067	396
729	1068	395
730	1069	393
731	1070	392
732	1071	390
733	1072	388
734	1073	387
735	1074	385
736	1075	383
737	1076	382
738	1077	380
739	1078	379
740	1080	377
741	1081	376
742	1082	374
743	1083	372
744	1085	371
745	1086	369
746	1087	368
747	1088	366
748	1089	365
749	1090	363
750	1091	361
751	1092	360
752	1093	358
753	1095	357
754	1096	355
755	1097	354
756	1098	352
757	1100	351
758	1101	349
759	1102	348
760	1103	346
761	1104	344
762	1105	343
763	1106	341
764	1107	340
765	1108	338
766	1109	337
767	1111	335
768	1113	334
769	1114	332
770	1115	331
771	1117	329
772	1118	328
773	1119	326
774	1121	325
775	1122	323
776	1123	322
777	1125	321
778	1127	319
779	1129	318
780	1134	317
781	1137	317
782	1142	316
783	1145	315
784	1148	314
785	1150	313
786	1153	312
787	1157	311
788	1160	310
789	1162	309
790	1165	307
791	1168	306
792	1171	305
793	1174	304
794	1177	303
795	1180	302
796	1182	301
797	1184	299
798	1185	298
799	1190	297
800	1193	296
801	1196	295
802	1199	294
803	1203	293
804	1205	292
805	1208	290
806	1211	289
807	1215	288
808	1219	288
809	1226	287
810	1229	286
811	1237	286
812	1240	285
813	1245	284
814	1257	285
815	1269	286
816	1276	285
817	1283	285
818	1284	283
819	1285	282
820	1287	280
821	1288	279
822	1290	277
823	1291	275
824	1292	274
825	1294	272
826	1296	271
827	1298	269
828	1300	268
829	1301	266
830	1303	265
831	1304	263
832	1305	261
833	1307	260
834	1310	258
835	1311	257
836	1313	255
837	1314	254
838	1315	252
839	1317	250
840	1318	249
841	1319	247
842	1320	245
843	1322	244
844	1323	242
845	1326	241
846	1327	239
847	1329	238
848	1331	236
849	1335	235
850	1336	234
851	1338	232
852	1340	231
853	1342	229
854	1344	227
855	1345	226
856	1347	224
857	1348	223
858	1350	221
859	1351	219
860	1353	218
861	1354	216
862	1357	215
863	1359	213
864	1361	212
865	1362	210
866	1364	209
867	1365	207
868	1367	206
869	1368	204
870	1369	202
871	1371	201
872	1373	199
873	1374	198
874	1375	196
875	1376	194
876	1378	193
877	1379	191
878	1380	190
879	1381	188
880	1383	186
881	1386	185
882	1387	183
883	1389	182
884	1390	180
885	1391	179
886	1393	177
887	1394	175
888	1395	174
889	1396	172
890	1398	171
891	1399	169
892	1401	167
893	1403	166
894	1404	164
895	1405	163
896	1406	161
897	1408	159
898	1409	158
899	1410	156
900	1412	155
901	1413	153
902	1414	151
903	1416	150
904	1417	148
905	1418	147
906	1420	145
907	1421	144
908	1423	142
909	1424	140
910	1426	139
911	1428	137
912	1432	136
913	1434	134
914	1435	133
915	1437	131
916	1440	130
917	1442	128
918	1443	127
919	1445	125
920	1448	124
921	1450	122
922	1451	121
923	1453	119
924	1454	117
925	1456	116
926	1457	114
927	1458	113
928	1460	111
929	1461	109
930	1463	108
931	1465	106
932	1467	105
933	1468	103
934	1469	102
935	1471	100
936	1472	98
937	1473	97
938	1475	95
939	1478	94
940	1480	92
941	1481	91
942	1482	89
943	1483	88
944	1484	86
945	1486	84
946	1487	83
947	1488	81
948	1490	80
949	1492	78
950	1494	77
951	1495	75
952	1497	73
953	1498	72
954	1500	70
955	1501	69
956	1502	67
957	1503	65
958	1504	64
959	1506	62
960	1508	61
961	1510	59
962	1511	58
963	1512	56
964	1513	54
965	1514	53
966	1515	51
967	1516	50
968	1518	48
969	1519	46
970	1520	45
971	1521	43
972	1523	42
973	1524	40
974	1525	39
975	1526	37
976	1527	35
977	1529	34
978	1530	32
979	1531	31
980	1533	29
981	1534	28
982	1535	26
983	1536	24
984	1537	23
985	1539	21
986	1540	20
987	1541	18
988	1542	17
989	1543	15
990	1544	14
991	1546	12
992	1547	10
993	1548	9
994	1549	7
995	1550	6
996	1553	4
997	1554	3
998	1556	1
999	1557	0
