,apart_id,palabras_comunes
58,-7660678214718556796,"{'casa': 18, 'elena': 10, 'recomendable': 5, 'piscina': 5, 'momento': 5, 'espacio': 4, 'grande': 4, 'atenta': 4, 'alojamiento': 3, 'genial': 3}"
59,-7647961466797522548,"{'juan': 62, 'casa': 58, 'lugar': 26, 'pedriza': 23, 'recomendable': 22, 'ubicación': 21, 'alojamiento': 18, 'bien': 18, 'rutas': 17, 'roca': 16}"
60,-7532640214510869373,"{'bien': 47, 'apartamento': 42, 'géraldine': 37, 'alojamiento': 26, 'gracias': 21, 'agradable': 19, 'limpio': 18, 'buena': 16, 'ubicación': 14, 'anfitriona': 13}"
61,-7530964113767441114,"{'casa': 22, 'finca': 13, 'piscina': 9, 'fin': 6, 'semana': 6, 'ana': 5, 'bien': 5, 'guardeses': 5, 'sido': 4, 'super': 4}"
62,-7467781154899846440,"{'camping': 7, 'bien': 5, 'casa': 3, 'móvil': 3, 'funcional': 3, 'recomiendo': 3, 'agradable': 3, 'centro': 3, 'limpia': 3, 'cerca': 3}"
63,-7437156360191256342,"{'vistas': 16, 'chalet': 15, 'fabrice': 14, 'agradable': 13, 'tranquilo': 12, 'bien': 11, 'alojamiento': 11, 'camping': 10, 'pequeño': 9, 'cabaña': 9}"
64,-7428913604648945724,"{'baño': 90, 'bien': 70, 'corine': 69, 'agradable': 65, 'chalet': 64, 'lugar': 60, 'noruego': 55, 'casa': 44, 'alojamiento': 40, 'gran': 33}"
65,-7403159499225727839,"{'casa': 21, 'limpio': 11, 'genial': 10, 'bien': 9, 'súper': 8, 'alojamiento': 8, 'bhelai': 8, 'terraza': 8, 'lugar': 7, 'pueblo': 7}"
66,-7379210424179741237,"{'manon': 11, 'lugar': 10, 'agradable': 5, 'gracias': 5, '¡una': 4, 'atípico': 4, 'bonito': 4, 'recomiendo': 4, 'detalles': 4, 'tranquilo': 3}"
67,-7373820725439386556,"{'bien': 11, 'chalet': 8, 'agradable': 7, 'alojamiento': 6, 'pequeño': 5, 'fuste': 5, 'situado': 5, 'zona': 4, 'entorno': 4, 'gracias': 4}"
68,-7367195571076422069,"{'eric': 6, 'bien': 5, 'alojamiento': 5, 'vistas': 5, 'cabaña': 5, 'buena': 4, 'gran': 4, 'castillo': 4, 'agradable': 4, 'hermosa': 4}"
69,-7329210789044603581,"{'alojamiento': 46, 'bien': 40, 'apartamento': 32, 'david': 30, 'mathilde': 27, 'agradable': 24, 'situado': 19, 'buena': 19, 'limpio': 19, 'gracias': 17}"
70,-7277475419674266779,"{'lugar': 33, 'casa': 32, 'vistas': 28, 'jardín': 28, 'alojamiento': 22, 'vista': 22, 'ubicación': 21, 'bien': 19, 'playa': 18, 'guadalupe': 17}"
71,-7261398601945697566,"{'apartamento': 11, 'playa': 11, 'amparo': 10, 'limpio': 6, 'bien': 6, 'zona': 6, 'alojamiento': 6, 'minutos': 5, 'supermercado': 4, 'piscina': 4}"
72,-7239995847751283722,"{'apartamento': 56, 'bien': 23, 'doris': 23, 'limpio': 22, 'playa': 21, 'ubicación': 18, 'cerca': 14, 'altea': 13, 'piso': 12, 'amplio': 12}"
73,-7181319643536431562,"{'alojamiento': 46, 'jeff': 37, 'bien': 27, 'casa': 23, 'apartamento': 21, 'gracias': 16, 'limpio': 15, 'recomiendo': 15, 'gran': 13, 'buena': 13}"
74,-7181180480011355336,"{'mar': 27, 'casa': 19, 'alojamiento': 13, 'lugar': 10, 'perfecto': 9, 'piscina': 9, 'gracias': 8, 'limpio': 8, 'recomendable': 8, 'detalle': 8}"
75,-7178634578291155662,"{'vistas': 9, 'vista': 6, 'lugar': 6, 'alojamiento': 6, 'bien': 5, 'estrela': 4, 'limpio': 4, 'pan': 4, 'ubicación': 3, 'sido': 3}"
76,-7161080515786659811,"{'silvia': 62, 'casa': 57, 'warner': 35, 'parque': 32, 'limpio': 31, 'anfitriona': 31, 'apartamento': 29, 'atenta': 21, 'genial': 18, 'terraza': 16}"
77,-7122503004157926303,"{'casa': 27, 'lugar': 24, 'zona': 12, 'anfitrión': 12, 'naturaleza': 10, 'tranquila': 9, 'tranquilo': 9, 'agradable': 8, 'cerca': 8, 'visitar': 8}"
78,-7047712390344773289,"{'casa': 55, 'carlos': 36, 'lugar': 35, 'ana': 25, 'anfitriones': 24, 'cabaña': 21, 'piscina': 15, 'atentos': 13, 'bien': 13, 'entorno': 12}"
79,-7037002170825445413,"{'casa': 14, 'buen': 4, 'alojamiento': 4, 'huéspedes': 4, 'madrid': 3, 'bien': 3, 'belén': 3, 'zona': 3, 'genial': 3, 'limpia': 3}"
80,-7018165104637998950,"{'bien': 16, 'chalet': 14, 'regine': 13, 'agradable': 11, 'cerca': 10, 'pistas': 10, 'anfitriona': 10, 'atenta': 7, 'disponible': 7, 'entorno': 6}"
