apart_id,Palabra Más Común
8715919496125015856,en pareja
8758117269284689480,en familia
8761215226432309362,en familia
8851488158742408057,en pareja
8859499171030633222,en familia
8888381317434770174,solo
8920882118403952291,solo
8941758100915925621,solo
8986709176420754902,solo
8992514993955314420,en pareja
9075461353651419469,solo
9096207555080294762,en pareja
9138566174490535179,solo
9194739064981556015,en familia
9222160670023950607,en pareja
