iter	RMSE
770	0.3765381358
771	0.3764914845
772	0.3764138605
773	0.3763657109
774	0.3762937564
775	0.3762281645
776	0.3761182236
777	0.3760615608
778	0.3759572178
779	0.3759071349
780	0.3758624636
781	0.3758151568
782	0.3757297996
783	0.3757288219
784	0.3756290864
785	0.3755774179
786	0.3754448966
787	0.3753097718
788	0.3751882057
789	0.3751279031
790	0.375056665
791	0.3750435301
792	0.3749750423
793	0.3749004129
794	0.3748508289
795	0.3747684956
796	0.3747183858
797	0.3746371125
798	0.3745357402
799	0.3744235154
800	0.3743688963
801	0.3743047283
802	0.3743037856
803	0.3742307638
804	0.3741617074
805	0.3740948021
806	0.3740003497
807	0.3738741874
808	0.3737794327
809	0.3736850055
810	0.3736841803
811	0.3735938193
812	0.3734652456
813	0.3734523625
814	0.373375094
815	0.3732854459
816	0.3731779775
817	0.3731512897
818	0.3731099874
819	0.3729814269
820	0.372911052
821	0.3729102793
822	0.3727600814
823	0.3726837926
824	0.3725222885
825	0.3724529013
826	0.3724149156
827	0.3723327122
828	0.3722598718
829	0.3721224342
830	0.3720461533
831	0.3719866962
832	0.3718837676
833	0.3718144326
834	0.3718135088
835	0.3717615301
836	0.3717021938
837	0.3716996319
838	0.3715492869
839	0.3715297301
840	0.3714782533
841	0.3714186167
842	0.3713160306
843	0.371181688
844	0.3711391767
845	0.3711066381
846	0.3709904562
847	0.3709221661
848	0.3708608133
849	0.3708040369
850	0.370651638
851	0.3705990366
852	0.3705543424
853	0.3704597266
854	0.3704573098
855	0.3703997536
856	0.3702799667
857	0.3702006005
858	0.3701998249
859	0.3701584193
860	0.3701166802
861	0.3700693074
862	0.3700313666
863	0.370007475
864	0.3699760529
865	0.3698594113
866	0.3697782714
867	0.3697469225
868	0.3696671453
869	0.3696382721
870	0.3695831136
871	0.3695150746
872	0.3694348845
873	0.3693640376
874	0.3693303277
875	0.3692458682
876	0.3691446962
877	0.3690670406
878	0.369014428
879	0.3690137741
880	0.3689593616
881	0.368920066
882	0.3688058432
883	0.368734771
884	0.3686720058
885	0.3686713034
886	0.3686339329
887	0.3686316406
888	0.3685882525
889	0.3685294108
890	0.3684363233
891	0.3683291017
892	0.3682830747
893	0.3681883099
894	0.3681523497
895	0.3680923606
896	0.3680320314
897	0.3679880221
898	0.3679338157
899	0.3678637511
900	0.3677310263
901	0.3676477918
902	0.3676459561
903	0.3675157296
904	0.3674758624
905	0.3674535651
906	0.3673526819
907	0.3672991297
908	0.3672455837
909	0.3671712746
910	0.3671320004
911	0.3670620221
912	0.3670031036
913	0.3669358276
914	0.3669072768
915	0.366852552
916	0.366841489
917	0.3667725563
918	0.366752755
919	0.3666898379
920	0.3666028054
921	0.3665601269
922	0.3665036425
923	0.3664565523
924	0.3663747567
925	0.366319506
926	0.3662957414
927	0.3662873799
928	0.366160304
929	0.3660439576
930	0.3660199591
931	0.3659494152
932	0.3658708137
933	0.3658679704
934	0.3657019932
935	0.3657014594
936	0.3656327675
937	0.3655670996
938	0.365509723
939	0.3654359146
940	0.3653659016
941	0.3653263401
942	0.3653113149
943	0.3652731335
944	0.3651673052
945	0.3651103854
946	0.3650560653
947	0.3649879275
948	0.364948605
949	0.3648642396
950	0.3648151061
951	0.3647137666
952	0.3646753737
953	0.3646017719
954	0.3645803803
955	0.3645279843
956	0.3644679902
957	0.3644283341
958	0.3643867851
959	0.3643213988
960	0.3642822322
961	0.3642185271
962	0.3641504636
963	0.3641096391
964	0.3640626917
965	0.3639822849
966	0.3639369051
967	0.3639054965
968	0.3638049431
969	0.3637261958
970	0.363638908
971	0.3635586936
972	0.3634977895
973	0.3634652418
974	0.3634298265
975	0.3633947966
976	0.3633487762
977	0.3632614298
978	0.3632110493
979	0.363210394
980	0.3631376758
981	0.363097303
982	0.363070883
983	0.3630084708
984	0.3629506459
985	0.3629227209
986	0.3628793247
987	0.3628322818
988	0.3627929133
989	0.362735767
990	0.362681679
991	0.3625726943
992	0.3625182068
993	0.3624799519
994	0.3624042877
995	0.3623603866
996	0.3623248322
997	0.3623150718
998	0.3622925941
999	0.3622188656
